City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
107,Cabo San Lucas,MX,22.8909,-109.9124,65.52,75,7,12.21,clear sky
108,Aketi,CD,2.7388,23.7833,90.63,39,57,3.76,broken clouds
109,Port Alfred,ZA,-33.5906,26.891,76.17,79,87,5.99,overcast clouds
110,Souillac,MU,-20.5167,57.5167,80.98,69,75,11.5,broken clouds
111,Marystown,CA,47.1666,-55.1483,38.86,100,100,15.01,overcast clouds
112,Ossora,RU,59.2353,163.0719,20.01,86,100,4.81,overcast clouds
113,Middelburg,ZA,-25.7751,29.4648,69.8,57,98,11.45,overcast clouds
114,Pacific Grove,US,36.6177,-121.9166,51.91,92,100,4.61,mist
115,Kabompo,ZM,-13.5927,24.2008,77.63,73,64,2.95,light rain
116,Kapaa,US,22.0752,-159.319,73.11,84,75,19.57,broken clouds
117,Vanimo,PG,-2.6741,141.3028,78.6,85,98,1.19,overcast clouds
118,Namibe,AO,-15.1961,12.1522,75.45,74,94,11.52,overcast clouds
119,Wau,SS,7.7029,27.9953,86.68,51,98,15.7,light rain
120,Tuatapere,NZ,-46.1333,167.6833,48.96,92,54,2.64,broken clouds
121,Kyshtovka,RU,56.555,76.6271,33.21,99,100,5.88,overcast clouds
122,Tiksi,RU,71.6872,128.8694,3.02,98,100,7.78,overcast clouds
123,Changtu,CN,42.7788,124.0955,50.76,33,0,22.46,clear sky
124,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,20.71,drizzle
125,Bredasdorp,ZA,-34.5322,20.0403,69.12,66,72,12.77,broken clouds
126,Sawakin,SD,19.1059,37.3321,84.13,58,96,9.01,overcast clouds
127,Pemba,MZ,-12.974,40.5178,81.86,73,8,7.63,light rain
128,Yenagoa,NG,4.9247,6.2642,88.66,58,100,7.34,light rain
129,Husavik,IS,66.0449,-17.3389,33.51,99,100,9.15,snow
130,Marsh Harbour,BS,26.5412,-77.0636,76.91,77,60,13.67,broken clouds
131,Belmonte,BR,-15.8631,-38.8828,82.98,67,11,7.05,few clouds
132,Blairmore,CA,49.6,-114.4353,33.93,86,81,3.44,broken clouds
133,Tessalit,ML,20.1986,1.0114,101.37,7,0,7.4,clear sky
134,Svetlaya,RU,46.5389,138.3297,35.96,83,0,7.52,clear sky
135,Steinbach,DE,50.1667,8.5667,46.56,32,0,5.75,clear sky
136,Port Elizabeth,ZA,-33.918,25.5701,72.32,82,40,8.05,scattered clouds
137,Hue,VN,16.4667,107.6,62.71,94,75,6.91,broken clouds
138,Olinda,BR,-8.0089,-34.8553,80.33,83,75,4.61,light rain
139,Pisco,PE,-13.7,-76.2167,69.85,73,0,8.05,clear sky
140,Touros,BR,-5.1989,-35.4608,82.81,75,97,13.91,overcast clouds
141,Komsomolskiy,UZ,40.4272,71.7189,70.52,32,0,2.3,clear sky
142,Atar,MR,20.5169,-13.0499,88.59,11,0,15.1,clear sky
143,Waddan,LY,29.1614,16.139,96.19,6,0,4.81,clear sky
144,Saint-Augustin,CA,51.226,-58.6502,35.55,99,99,15.14,overcast clouds
145,Manacapuru,BR,-3.2997,-60.6206,74.89,89,100,2.1,overcast clouds
146,Katsuura,JP,35.1333,140.3,50.02,77,100,21.23,light rain
147,Coos Bay,US,43.3665,-124.2179,43.93,97,75,6.91,broken clouds
148,Ust-Kuyga,RU,70.0167,135.6,-20.09,100,60,2.91,broken clouds
149,Vostok,RU,46.4856,135.8833,30.69,80,0,7.11,clear sky
150,Los Cedrales,PY,-25.65,-54.7,79.09,62,70,9.26,broken clouds
151,Mahebourg,MU,-20.4081,57.7,80.89,69,75,11.5,broken clouds
152,Victoria,HK,22.2855,114.1577,67.17,67,0,11.99,clear sky
153,Kumluca,TR,36.3703,30.2869,71.53,45,81,6.33,broken clouds
154,Senno,RU,59.5336,33.9167,31.35,70,72,5.79,broken clouds
155,Bonavista,CA,48.6499,-53.1147,35.13,85,99,13.11,overcast clouds
156,Isangel,VU,-19.55,169.2667,79.75,84,100,10.29,overcast clouds
157,Kruisfontein,ZA,-34.0033,24.7314,67.89,61,63,9.98,broken clouds
158,Rockhampton,AU,-23.3833,150.5,71.49,83,2,5.75,clear sky
159,Taltal,CL,-25.4,-70.4833,67.5,64,0,5.97,clear sky
160,Lompoc,US,34.6391,-120.4579,56.57,90,100,1.99,overcast clouds
161,Butaritari,KI,3.0707,172.7902,81.7,70,84,15.32,broken clouds
162,Port Shepstone,ZA,-30.7414,30.455,75.67,80,61,5.75,broken clouds
163,Hofn,IS,64.2539,-15.2082,41.02,93,100,5.75,overcast clouds
164,Geraldton,AU,-28.7667,114.6,73.81,88,4,10.36,clear sky
165,Iranshahr,IR,27.2025,60.6848,98.94,5,0,6.91,clear sky
166,Champerico,GT,14.3,-91.9167,82.94,67,18,10.49,few clouds
167,Kaeo,NZ,-35.1,173.7833,66.33,91,61,2.08,broken clouds
168,Tukrah,LY,32.5341,20.5791,69.73,52,0,19.82,clear sky
169,Mar Del Plata,AR,-38.0023,-57.5575,69.82,76,0,20.0,clear sky
170,Chara,RU,56.9064,118.2631,10.24,80,100,4.54,overcast clouds
171,Bengkulu,ID,-3.8004,102.2655,78.89,76,27,3.44,scattered clouds
