City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,New Norfolk,AU,2022-03-27 20:58:30,-42.7826,147.0587,60.71,62,89,1.01
88,Dikson,RU,2022-03-27 20:58:30,73.5069,80.5464,-17.25,100,14,3.27
89,Canutama,BR,2022-03-27 20:58:31,-6.5339,-64.3831,79.14,91,94,1.34
90,Manggar,ID,2022-03-27 20:58:31,-2.8833,108.2667,79.16,82,58,4.61
91,Zhigansk,RU,2022-03-27 20:50:48,66.7697,123.3711,-6.05,100,96,2.73
92,Vaini,TO,2022-03-27 20:58:32,-21.2,-175.2,78.96,94,75,3.44
93,Rimbey,CA,2022-03-27 20:59:32,52.6334,-114.2353,37.92,56,100,7.65
94,Vostok,RU,2022-03-27 20:48:27,46.4856,135.8833,20.43,98,100,3.71
95,Tashla,RU,2022-03-27 20:59:33,51.7716,52.7427,32.41,98,100,10.85
96,Flinders,AU,2022-03-27 20:59:33,-34.5833,150.8552,66.18,94,94,5.01
97,Yeppoon,AU,2022-03-27 20:54:58,-23.1333,150.7333,71.38,89,19,5.46
98,Yinchuan,CN,2022-03-27 20:55:36,38.4681,106.2731,44.08,32,30,0.98
99,Togur,RU,2022-03-27 20:59:34,58.3631,82.8265,-2.09,100,69,2.91
100,Kaihua,CN,2022-03-27 20:59:34,23.3687,104.28,52.14,88,59,4.94
101,Point Pedro,LK,2022-03-27 20:59:35,9.8167,80.2333,80.82,81,5,9.44
102,Pahrump,US,2022-03-27 20:59:35,36.2083,-115.9839,81.84,9,95,15.01
103,Bluff,NZ,2022-03-27 20:59:35,-46.6,168.3333,54.12,88,14,4.43
104,Tsiroanomandidy,MG,2022-03-27 20:59:36,-18.7667,46.0333,68.79,96,100,1.79
105,Hamilton,US,2022-03-27 20:59:34,39.1834,-84.5333,43.88,44,8,7.0
106,Dwarka,IN,2022-03-27 20:59:36,22.2394,68.9678,78.8,70,3,11.72
107,Bull Savanna,JM,2022-03-27 20:59:37,17.8868,-77.5902,77.07,68,73,3.0
