City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
267,Manto,HN,76.93,broken clouds,14.9167,-86.3833,
268,Puerto Narino,CO,75.58,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
270,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
271,Farafangana,MG,78.26,clear sky,-22.8167,47.8333,Miarina
273,Karratha,AU,83.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
275,Eydhafushi,MV,83.57,clear sky,5.1033,73.0708,Soneva Fushi
276,Sambava,MG,79.38,moderate rain,-14.2667,50.1667,Melrose
279,Dawei,MM,75.76,overcast clouds,14.0833,98.2,Hotel Dawei
280,Sao Jose Da Coroa Grande,BR,82.9,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
285,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
287,Umm Lajj,SA,83.46,overcast clouds,25.0213,37.2685,Moon light Furnished Units
289,Kiri Buru,IN,87.37,clear sky,22.0833,85.35,Lucky India
291,Morondava,MG,83.14,clear sky,-20.2833,44.2833,La Case Bambou
295,Wattegama,LK,75.83,moderate rain,6.7989,81.4808,
300,Bubaque,GW,75.67,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
303,Nova Olimpia,BR,82.74,clear sky,-14.7972,-57.2881,Motel glamour
308,Ambilobe,MG,81.09,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
318,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
324,Cape Coast,GH,87.67,overcast clouds,5.1053,-1.2466,Samrit Hotel
328,Sorong,ID,79.45,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
331,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
332,Faanui,PF,80.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
336,Antalaha,MG,83.21,light rain,-14.9003,50.2788,Hotel Vitasoa
337,Kyaikto,MM,83.41,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
339,Nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
347,Sobradinho,BR,83.21,overcast clouds,-12.8333,-39.1,Pousada Pau Brasil
349,Naliya,IN,81.52,clear sky,23.2667,68.8333,jadeja jayendrasinh
351,Karachi,PK,85.82,haze,24.9056,67.0822,Sadaat
356,Riberalta,BO,79.0,scattered clouds,-10.9833,-66.1,Hotel Colonial
361,Biharamulo,TZ,76.19,scattered clouds,-2.6319,31.3089,Annex Lodge
362,Yanam,IN,80.47,scattered clouds,16.7333,82.2167,The Regency Hotel
373,Manakara,MG,78.12,clear sky,-22.1333,48.0167,La Residence Manakara
383,Kuching,MY,79.02,light rain,1.55,110.3333,Hilton Kuching
389,Sola,VU,77.49,moderate rain,-13.8833,167.55,Leumerus Bungalows
390,Gamba,GA,84.38,overcast clouds,-2.65,10.0,
392,Kisangani,CD,84.51,overcast clouds,0.5167,25.2,Grand Ramela Hotel
398,Arak,IR,75.83,clear sky,34.0917,49.6892,Zagros Hotel
399,Brokopondo,SR,78.67,overcast clouds,4.75,-55.1667,Matu Island
400,Grand-Santi,GF,78.57,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
404,Girne,CY,78.35,overcast clouds,35.3417,33.3167,Lavanta Residence
407,Altamira,BR,82.49,broken clouds,-3.2033,-52.2064,Requinte Hotel
409,Port Blair,IN,81.97,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
412,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
414,Inirida,CO,81.54,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
417,Kieta,PG,78.67,light rain,-6.2167,155.6333,Uruna Bay Retreat
421,Karad,IN,83.44,overcast clouds,17.2833,74.2,Hotel Sugam Lodging
431,Martinho Campos,BR,82.99,few clouds,-19.3317,-45.2369,Hotel Duarte
433,Guanica,PR,86.13,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
441,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
443,Thinadhoo,MV,83.39,broken clouds,0.5333,72.9333,
448,Mitsamiouli,KM,82.58,scattered clouds,-11.3847,43.2844,Foyer ADM
450,Samana,DO,78.76,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
454,Lucapa,AO,78.31,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
459,West Bay,KY,80.08,broken clouds,19.3667,-81.4167,Calypso Cove
464,Hambantota,LK,80.94,thunderstorm,6.1241,81.1185,Bungalow 63
466,Padang,ID,79.07,scattered clouds,-0.9492,100.3543,Mercure Padang
468,Puerto El Triunfo,SV,83.32,scattered clouds,13.2833,-88.55,Hotel Jardin
473,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
475,Lae,PG,76.98,overcast clouds,-6.7221,146.9847,Phils Hotel
476,Trairi,BR,82.78,broken clouds,-3.2778,-39.2689,janelas do mar
482,Omboue,GA,84.0,overcast clouds,-1.5746,9.2618,Hotel Olako
485,Resplendor,BR,89.28,few clouds,-19.3256,-41.2553,Pousada Bixu de Pé
